ticket_id,description,category,priority
T002018,"Issue causing lag, MongoDB, partition, index error",Database,High
T004335,"Issue showing hypervisor, CPU, virtual machine, VM error",Virtualization,Critical
T006913,Build cache corruption causing failed builds,DevOps,High
T004556,ESXi host showing CPU throttling during peak usage,Virtualization,High
T003062,Systemd service failing to start after reboot,Unix,High
T006538,Blue-green deployment cutover not completing,DevOps,Medium
T003354,Iptables rules blocking legitimate traffic,Unix,High
T004931,"Issue unable to storage, HA, resource pool, CPU error",Virtualization,Low
T004405,VM console access restricted due to certificate issue,Virtualization,High
T001075,Application unable to parse XML response,Application,Medium
T006789,"Issue causing Git, configuration error",DevOps,High
T002993,File descriptor limit reached on web server,Unix,High
T004553,Virtual machine cloning operation timing out,Virtualization,High
T008644,Backup job not completing within scheduled window,Backup,High
T003590,"Issue cannot audit, vulnerability, firewall, policy error",Security,Critical
T001526,Database query timeout on reporting tables,Database,High
T007303,Workstation storage device not recognized,Hardware,High
T003572,Systemd timeout waiting for dependent services,Unix,High
T003365,File descriptor limit reached on web server,Unix,High
T000788,Application crash after memory usage spike,Application,Medium
T007892,Slack integration not syncing notifications,Email,Critical
T006534,"Issue showing orchestration, Docker, registry error",DevOps,High
T003443,"Issue throwing daemon, disk space, cron error",Unix,High
T006499,"Issue unable to Jenkins, automation, Terraform, Git error",DevOps,Critical
T000373,Network interface MTU mismatch causing fragmentation,Network,Medium
T009947,"Issue experiencing vendor support, support ticket error",Vendor,Medium
T005583,iSCSI connection timeout to storage array,Storage,Critical
T006465,Infrastructure-as-code drift detected in production,DevOps,High
T008165,"Issue experiencing mailbox, Slack, Gmail error",Email,Medium
T008932,Replication lag growing for backup mirror,Backup,Medium
T001722,Database deadlock occurring in transaction,Database,Critical
T009768,License capacity exceeded,Vendor,Critical
T009372,"Issue showing API, deprecation error",Vendor,Critical
T005473,Snapshot retention policy preventing cleanup,Storage,High
T001269,Application crash with segmentation fault,Application,High
T006725,"Issue throwing automation, GitLab error",DevOps,High
T006981,Secret management failing during deployment,DevOps,Medium
T005153,"Issue causing LUN, SAN error",Storage,Critical
T000592,Frequent disconnections on WiFi network,Network,Critical
T006737,Terraform state lock stuck preventing deployments,DevOps,Medium
T007996,Slack integration not syncing notifications,Email,High
T005208,Disk encryption key rotation incomplete,Storage,Critical
T008144,Email forwarding rule not executing,Email,High
T008430,Email recovery from deleted items failing,Email,Medium
T004604,Resource allocation policy not enforcing quotas,Virtualization,High
T002767,Terraform applying infrastructure changes failing,Cloud,High
T005854,Splunk index unusually large after ingestion spike,Monitoring,Low
T004313,Resource allocation policy not enforcing quotas,Virtualization,High
T000140,BGP route flapping causing intermittent connectivity,Network,High
T001895,Database query timeout on reporting tables,Database,Critical
T001190,Java application OutOfMemory error in production,Application,High
T003429,Disk space 95% full on /var partition,Unix,Critical
T009278,Restore operation timeout preventing data recovery,Backup,High
T002933,Cron email notifications blocked by firewall,Unix,Medium
T004279,Two-factor authentication system experiencing outage,Security,High
T006424,Metrics collection showing gaps in data,Monitoring,High
T007350,Power supply failure on production server,Hardware,Critical
T003079,SSH service not responding on port 22,Unix,Critical
T009155,Replication lag growing for backup mirror,Backup,High
T007876,"Issue cannot delivery, spam, Exchange, Office 365 error",Email,High
T001866,"Issue cannot fragmentation, lag, Elasticsearch, replication error",Database,Critical
T008072,Out of office reply not being sent,Email,Medium
T009779,SaaS application API rate limiting requests,Vendor,Medium
T007840,Workstation disk drive making unusual noise,Hardware,Medium
T005764,Alert deduplication not preventing duplicates,Monitoring,Medium
T003349,File descriptor limit reached on web server,Unix,High
T008091,Distribution list membership not updating,Email,High
T004440,Virtual machine suspended unexpectedly,Virtualization,Medium
T004036,SSL/TLS vulnerability detected on web server,Security,High
T003861,"Issue cannot update, anomaly, vulnerability, prevention error",Security,Critical
T000808,"Issue showing pool, API, authorization, thread error",Application,Medium
T001684,Redis memory usage approaching 100%,Database,High
T006579,"Issue cannot automation, GitHub, Jenkins error",DevOps,High
T008038,Outlook performance degrading with large mailbox,Email,High
T009799,"Issue unable to renewal, SaaS error",Vendor,Medium
T001064,Application metric collection delayed by 5 minutes,Application,Low
T009956,API schema change breaking existing code,Vendor,Medium
T009676,End of life date approaching for vendor product,Vendor,High
T009820,"Issue cannot subscription, renewal, update, EOL error",Vendor,High
T009281,"Issue unable to backup, RPO error",Backup,High
T008160,SMTP relay authentication failing,Email,Low
T002920,Permission denied when accessing /opt/application directory,Unix,Medium
T003338,"Issue experiencing module, service error",Unix,High
T004425,VM automatic startup failing after host reboot,Virtualization,High
T002095,Database query plan inefficient after statistics update,Database,High
T002116,"Issue unable to cache, lag error",Database,High
T002672,CloudFront distribution returning 403 errors,Cloud,High
T008015,Calendar sync not working across devices,Email,High
T008142,"Issue experiencing meeting, Exchange error",Email,High
T006836,Deployment rollback failed leaving system in inconsistent state,DevOps,High
T001270,"Issue throwing outage, CPU, login error",Application,Medium
T002758,"Issue causing CloudFront, image, S3, quota error",Cloud,High
T001301,"Issue causing outage, error, timeout error",Application,High
T009140,Backup deduplication ratio declining unexpectedly,Backup,High
T006316,Metric cardinality explosion from new service,Monitoring,Medium
T007621,Hardware diagnostic test indicating failure,Hardware,High
T007308,Server firmware version mismatched,Hardware,High
T000651,Frequent disconnections on WiFi network,Network,Medium
T008593,Selective restore functionality broken,Backup,High
T002995,"Issue experiencing sudo, service error",Unix,High
T004363,VM snapshot consuming excessive storage space,Virtualization,High
T003403,Cron job not executing scheduled backup script,Unix,High
T001166,"Issue causing outage, session, authentication, timeout error",Application,Critical
T008135,Calendar sync not working across devices,Email,High
T007275,"Issue throwing desktop, power supply, server error",Hardware,Low
T007924,"Issue experiencing Slack, SMTP error",Email,Medium
T008105,"Issue experiencing Exchange, Office 365, IMAP, delivery error",Email,Medium
T007991,"Issue causing quota, archive, Slack error",Email,Low
T003428,Log rotation script failing to compress archives,Unix,Medium
T001563,"Issue cannot buffer, Oracle, fragmentation error",Database,Medium
T005387,Storage pool fragmentation increasing response time,Storage,High
T009972,Subscription renewal failing during processing,Vendor,Critical
T004840,VM snapshot consuming excessive storage space,Virtualization,High
T001144,"Issue unable to login, endpoint, crash, error error",Application,Low
T003645,DDoS attack detected targeting company infrastructure,Security,High
T002412,"Issue cannot Terraform, limit, security group, deployment error",Cloud,High
T003592,VPN access being blocked by security policy,Security,Medium
T005192,Snapshot retention policy preventing cleanup,Storage,High
T004653,Virtual machine cloning operation timing out,Virtualization,High
T002115,Database transaction log full preventing writes,Database,Medium
T008388,Outlook performance degrading with large mailbox,Email,High
T008574,Backup deduplication ratio declining unexpectedly,Backup,High
T002932,"Issue cannot partition, disk space error",Unix,Critical
T004566,"Issue showing provisioning, ESXi, DRS, CPU error",Virtualization,Medium
T005528,"Issue showing quota, archival, SAN error",Storage,High
T005360,"Issue causing deduplication, snapshot error",Storage,High
T006767,Blue-green deployment cutover not completing,DevOps,High
T008180,Slack integration not syncing notifications,Email,High
T007672,Laptop battery not holding charge,Hardware,Medium
T002620,"Issue causing CloudFormation, deployment, ECS, security group error",Cloud,Medium
T005109,Volume expansion unable to complete,Storage,Medium
T009951,Third-party connector configuration error,Vendor,High
T009397,Third-party connector configuration error,Vendor,High
T008993,"Issue showing full backup, snapshot, incremental error",Backup,Critical
T008662,"Issue causing deduplication, RPO, restore error",Backup,High
T008019,Outlook profile corruption preventing email access,Email,Critical
T006216,Grafana dashboard queries timing out,Monitoring,High
T003107,Sudo audit log not being written correctly,Unix,High
T008581,"Issue showing retention, disaster recovery, tape error",Backup,Critical
T002084,PostgreSQL index fragmentation causing slow queries,Database,High
T000117,SSL handshake timeout on API endpoints,Network,Critical
T008579,Backup deduplication ratio declining unexpectedly,Backup,High
T004918,VM snapshot consuming excessive storage space,Virtualization,High
T000256,Network interface MTU mismatch causing fragmentation,Network,Medium
T007051,Build artifact size exceeding storage quota,DevOps,Critical
T001150,Application metrics export failing with write errors,Application,High
T007067,Git webhook not triggering pipeline on commit,DevOps,High
T004621,ESXi host showing CPU throttling during peak usage,Virtualization,High
T002276,Docker image build failing due to network timeout,Cloud,High
T005302,"Issue throwing tiering, SAN, quota, LUN error",Storage,Critical
T000086,"Issue showing congestion, link down, interface error",Network,High
T000536,Network broadcast storm detected on VLAN,Network,Medium
T002593,"Issue throwing auto scaling, RDS, limit, Lambda error",Cloud,High
T007191,Server cooling fan at maximum RPM,Hardware,High
T006788,Kubernetes deployment unable to pull image,DevOps,High
T002802,IAM policy denying access to CloudWatch logs,Cloud,Medium
T003467,Cron email notifications blocked by firewall,Unix,Medium
T008461,"Issue throwing archive, Slack, delivery, collaboration error",Email,Medium
T004473,VM disk I/O saturation during backup window,Virtualization,High
T004365,Datastore latency causing VM performance degradation,Virtualization,Critical
T008297,Outlook performance degrading with large mailbox,Email,Medium
T000460,"Issue experiencing WAN, gateway, congestion error",Network,High
T002322,"Issue throwing TLS, load balancer, quota error",Cloud,High
T002948,Systemd service failing to start after reboot,Unix,Medium
T002426,Docker container failing to start with OOM error,Cloud,High
T007685,Desktop monitor displaying color distortion,Hardware,High
T009218,Tape library robotic arm malfunction,Backup,High
T006088,Metric cardinality explosion from new service,Monitoring,Medium
T007247,Printer unable to communicate with print server,Hardware,High
T001015,"Issue experiencing exception, timeout error",Application,High
T009755,Vendor platform maintenance window extending beyond expected time,Vendor,Medium
T003445,"Issue cannot sudo, script, ulimit error",Unix,Low
T002587,Terraform applying infrastructure changes failing,Cloud,Low
T007925,"Issue experiencing collaboration, IMAP error",Email,High
T004999,Hypervisor memory pressure causing VM swapping,Virtualization,High
T002423,VPN gateway certificate expiring in 7 days,Cloud,Critical
T009315,Vendor API endpoint deprecated without replacement,Vendor,High
T007079,Pipeline notification system offline,DevOps,High
T004127,Security patch deployment failed on production servers,Security,High
T000007,VLAN trunk port down affecting multiple subnets,Network,Medium
T005158,Storage archival job failing to complete,Storage,High
T007132,"Issue unable to CI/CD, orchestration error",DevOps,Critical
T007589,"Issue throwing inventory, power supply, repair, BIOS error",Hardware,High
T001308,Application request handling timeout in production,Application,High
T008499,Spam filter incorrectly blocking legitimate email,Email,High
T002119,Redis cache connection refused from web servers,Database,Critical
T004738,"Issue experiencing provisioning, HA error",Virtualization,Medium
T006525,Container registry rate limit exceeded,DevOps,Medium
T000204,VPN users experiencing latency spikes,Network,High
T006251,"Issue unable to disk, anomaly, Grafana, CPU error",Monitoring,Medium
T009556,Integration webhook not triggering,Vendor,High
T005237,LUN mapping error preventing server access,Storage,High
T008401,"Issue showing IMAP, authentication, Exchange error",Email,Critical
T008196,"Issue unable to spam, Gmail, IMAP error",Email,High
T006456,Kubernetes ConfigMap not updating deployed pods,DevOps,High
T001419,"Issue cannot exception, response time, endpoint, session error",Application,Critical
T004824,VM snapshot consuming excessive storage space,Virtualization,High
T007108,Blue-green deployment cutover not completing,DevOps,High
T009368,Vendor system data sync incomplete,Vendor,High
T003207,Shell script returning permission denied on NFS mount,Unix,Low
T004693,VMware vCenter connection timeout to ESXi host,Virtualization,Medium
T004124,"Issue showing detection, compliance, anomaly, exploit error",Security,Critical
T006067,"Issue causing threshold, Grafana, DataDog, anomaly error",Monitoring,High
T008720,Incremental backup chain broken,Backup,High
T009497,Vendor system data sync incomplete,Vendor,Medium
T003078,Permission denied when accessing /opt/application directory,Unix,Medium
T007588,Power supply failure on production server,Hardware,Low
T003761,Suspicious process detected running with elevated privileges,Security,High
T007750,"Issue causing desktop, RAM error",Hardware,Medium
T005660,"Issue throwing compression, storage pool error",Storage,High
T001903,"Issue experiencing partition, MongoDB, bloat, connection error",Database,Medium
T007494,Laptop battery not holding charge,Hardware,Medium
T006180,Metric cardinality explosion from new service,Monitoring,High
T005732,Prometheus metrics scrape failing for target,Monitoring,Medium
T009349,Vendor API documentation outdated,Vendor,Medium
T001237,Application JSON parsing error from third party API,Application,High
T009890,"Issue experiencing update, EOL error",Vendor,High
T003008,SSH key authentication not working for automation,Unix,High
T001172,Application connection pool leaking connections,Application,High
T001124,Apache server showing 503 error intermittently,Application,High
T000443,Cannot add new host to DNS zone,Network,High
T005993,Monitoring database retention policy not working,Monitoring,High
T009984,API schema change breaking existing code,Vendor,Critical
T006317,Monitoring dashboard refresh rate degraded,Monitoring,High
T005081,NAS performance degrading during peak I/O,Storage,Critical
T001004,Application struggling with concurrent requests,Application,High
T003386,"Issue cannot daemon, partition error",Unix,Critical
T005983,Splunk index unusually large after ingestion spike,Monitoring,High
T004261,Unauthorized access attempt detected in audit logs,Security,High
T006633,"Issue cannot container, build error",DevOps,High
T007568,Desktop monitor displaying color distortion,Hardware,Medium
T002389,"Issue unable to pod, image error",Cloud,Critical
T006433,"Issue causing orchestration, Kubernetes, GitHub error",DevOps,Medium
T006188,Prometheus metrics scrape failing for target,Monitoring,Medium
T001902,Database index becoming bloated after bulk insert,Database,High
T000929,Application request handling timeout in production,Application,Medium
T007124,Build artifact size exceeding storage quota,DevOps,High
T004853,Virtual machine cloning operation timing out,Virtualization,Critical
T007077,"Issue cannot deployment, CI/CD error",DevOps,High
T004793,"Issue causing vCenter, provisioning error",Virtualization,High
T006363,Prometheus metrics scrape failing for target,Monitoring,High
T009697,Vendor system data sync incomplete,Vendor,High
T000124,VPN users experiencing latency spikes,Network,Critical
T004029,Two-factor authentication system experiencing outage,Security,High
T006972,"Issue cannot Docker, registry error",DevOps,High
T006897,"Issue throwing automation, orchestration, artifact error",DevOps,Medium
T008484,Outlook performance degrading with large mailbox,Email,High
T005455,"Issue experiencing NAS, volume, compression error",Storage,High
T007907,Outlook unable to connect to mailbox server,Email,High
T007291,"Issue cannot maintenance, replacement error",Hardware,Critical
T003666,SSL/TLS vulnerability detected on web server,Security,High
T001255,"Issue experiencing error, exception error",Application,High
T000430,Network QoS policy not limiting bandwidth,Network,Critical
T005384,"Issue cannot storage pool, disk error",Storage,High
T006537,Kubernetes deployment unable to pull image,DevOps,High
T002924,Systemd timeout waiting for dependent services,Unix,High
T000575,"Issue cannot router, uplink, route, bandwidth error",Network,High
T003636,Firewall rule blocking legitimate business application,Security,High
T001371,Application hanging during peak load hours,Application,High
T008503,Email encryption certificate expired,Email,Medium
T002441,"Issue unable to Lambda, limit error",Cloud,Medium
T007679,Workstation disk drive making unusual noise,Hardware,Medium
T001037,"Issue cannot caching, performance, deployment, timeout error",Application,High
T002121,"Issue throwing transaction, vacuum, cache, archive error",Database,High
T001072,Application struggling with concurrent requests,Application,Medium
T006719,"Issue cannot CI/CD, artifact, version control error",DevOps,High
T003128,"Issue causing module, script, log rotation, ulimit error",Unix,Critical
T002105,Database query plan inefficient after statistics update,Database,High
T000183,Network broadcast storm detected on VLAN,Network,High
T004175,"Issue throwing authentication, antivirus, encryption, policy error",Security,High
T002781,AWS Lambda concurrency limit exceeded,Cloud,Low
T009955,Vendor notification system not alerting properly,Vendor,High
T006364,Splunk index unusually large after ingestion spike,Monitoring,High
T003738,"Issue throwing certificate, incident, patch error",Security,High
T005988,Metric cardinality explosion from new service,Monitoring,Medium
T006208,"Issue showing threshold, metric error",Monitoring,High
T001718,Database query timeout on reporting tables,Database,High
T003774,SSL/TLS vulnerability detected on web server,Security,High
T008729,"Issue showing deduplication, retention, RTO, tape error",Backup,High
T004719,Resource allocation policy not enforcing quotas,Virtualization,Critical
T005794,"Issue causing DataDog, memory, latency, ELK error",Monitoring,Critical
T000746,"Issue causing login, outage error",Application,High
T005940,"Issue causing incident, disk error",Monitoring,High
T003513,Permission denied when accessing /opt/application directory,Unix,Critical
T005017,Storage snapshot deletion failing due to dependencies,Storage,High
T004050,"Issue cannot exploit, prevention error",Security,High
T003042,"Issue unable to inode, bash, service, sudo error",Unix,Medium
T007752,"Issue showing inventory, power supply, desktop error",Hardware,Critical
T006704,Artifact repository access denied for build job,DevOps,High
T005912,Distributed trace context not propagating correctly,Monitoring,High
T000075,Frequent disconnections on WiFi network,Network,Critical
T002486,Docker image build failing due to network timeout,Cloud,High
T008143,Spam filter incorrectly blocking legitimate email,Email,High
T006536,"Issue unable to CI/CD, pipeline, Terraform, IaC error",DevOps,Critical
T004711,VMware vCenter connection timeout to ESXi host,Virtualization,High
T005275,NAS replication lag exceeding configured threshold,Storage,High
T005857,Monitoring compliance report generation failing,Monitoring,High
T001375,"Issue cannot response time, caching error",Application,Critical
T006689,Automated rollback not executing on failure,DevOps,Medium
T002061,PostgreSQL index fragmentation causing slow queries,Database,High
T002937,Sudo audit log not being written correctly,Unix,High
T000680,"Issue causing firewall, packet loss, gateway, router error",Network,High
T000372,Cannot add new host to DNS zone,Network,Low
T007087,"Issue causing CI/CD, build, orchestration, Jenkins error",DevOps,Medium
T004001,Insider threat alert triggered for suspicious file access,Security,Critical
T002976,Nginx master process hanging periodically,Unix,High
T001209,Application database connection string incorrect after migration,Application,High
T001635,Database query timeout on reporting tables,Database,Low
T002556,Cloud storage bucket versioning causing quota exceeded,Cloud,High
T001044,"Issue throwing performance, crash, CPU error",Application,Critical
T006130,APM agent memory leak causing high overhead,Monitoring,Critical
T008779,"Issue cannot compression, cloud error",Backup,High
T001639,Redis memory usage approaching 100%,Database,High
T000777,Application JSON parsing error from third party API,Application,Medium
T000824,"Issue showing deployment, transaction, garbage collection error",Application,Critical
T008905,RPO exceeded for critical systems,Backup,Critical
T000939,"Issue experiencing authentication, outage, endpoint error",Application,High
T007695,"Issue unable to maintenance, fan, inventory, disk error",Hardware,High
T001631,PostgreSQL index fragmentation causing slow queries,Database,High
T006143,"Issue causing Grafana, dashboard error",Monitoring,Critical
T005847,"Issue causing trace, incident error",Monitoring,Medium
T008725,Selective restore functionality broken,Backup,Critical
T005310,Replication network bandwidth insufficient,Storage,High
T002359,Lambda function timeout during image processing,Cloud,High
T009586,Support ticket escalation not proceeding,Vendor,High
T007479,Server firmware version mismatched,Hardware,Medium
T005908,Grafana dashboard queries timing out,Monitoring,High
T002298,"Issue unable to CloudFront, pod, S3, Lambda error",Cloud,High
T006353,Monitoring compliance report generation failing,Monitoring,Medium
T001504,MySQL replication lag increasing beyond threshold,Database,High
T001768,MySQL binlog position misalignment in replication,Database,High
T004509,Virtual machine suspended unexpectedly,Virtualization,High
T003420,"Issue unable to core dump, ulimit, partition error",Unix,Critical
T002538,"Issue showing TLS, deployment, AWS, Kubernetes error",Cloud,High
T007793,Server CPU showing temperature warning,Hardware,Medium
T000038,Frequent disconnections on WiFi network,Network,Medium
T007369,"Issue unable to desktop, workstation error",Hardware,High
T004112,Firewall rule blocking legitimate business application,Security,Critical
T005661,Storage quota enforcer removing user files,Storage,High
T007513,USB port not providing power to devices,Hardware,High
T009821,"Issue throwing integration, update, support ticket error",Vendor,High
T005650,Volume expansion unable to complete,Storage,Critical
T001574,DynamoDB read capacity throttled during spike,Database,Low
T001539,Database query plan inefficient after statistics update,Database,High
T006753,Jenkins build pipeline hanging indefinitely,DevOps,High
T002497,"Issue throwing Docker, security group, Kubernetes error",Cloud,High
T007731,"Issue throwing warranty, motherboard, laptop, maintenance error",Hardware,High
T003694,VPN access being blocked by security policy,Security,Critical
T005511,"Issue causing archival, deduplication, controller error",Storage,High
T007610,Server warranty expired requiring replacement,Hardware,High
T002154,Kubernetes node not joining cluster,Cloud,Medium
T008351,Email delivery failing for external recipients,Email,High
T007342,Server warranty expired requiring replacement,Hardware,Medium
T005295,"Issue throwing RAID, retention error",Storage,Critical
T008798,Incremental backup verification failing,Backup,High
T005304,iSCSI connection timeout to storage array,Storage,Low
T002267,AWS Lambda concurrency limit exceeded,Cloud,High
T009487,"Issue causing vendor support, subscription, support ticket, integration error",Vendor,High
T005987,Log parser unable to process new event format,Monitoring,Critical
T004633,"Issue experiencing memory, migration, vCenter, VM error",Virtualization,Medium
T003326,SSH key authentication not working for automation,Unix,Critical
T004549,VMware vCenter connection timeout to ESXi host,Virtualization,Medium
T000097,Network latency between datacenters exceeding 500ms,Network,Medium
T007780,Laptop screen flickering intermittently,Hardware,Medium
T008315,Distribution list membership not updating,Email,High
T006954,Build artifact size exceeding storage quota,DevOps,Low
T001822,Database deadlock occurring in transaction,Database,Critical
T008952,Selective restore functionality broken,Backup,High
T003179,File permissions incorrect after backup restore,Unix,Critical
T004929,"Issue causing migration, template, CPU error",Virtualization,Critical
T005515,Storage pool fragmentation increasing response time,Storage,Medium
T007558,"Issue cannot warranty, repair error",Hardware,Critical
T004873,DRS unable to balance workloads across hosts,Virtualization,Medium
T000324,Redundant network link down causing failover delay,Network,Low
T003907,VPN access being blocked by security policy,Security,High
T007312,"Issue unable to replacement, repair, workstation, server error",Hardware,Critical
T008999,RPO exceeded for critical systems,Backup,Critical
T007428,"Issue cannot firmware, fan error",Hardware,High
T001871,MySQL replication lag increasing beyond threshold,Database,High
T002333,CloudFront distribution returning 403 errors,Cloud,Medium
T002273,Certificate authority certificate renewal pending,Cloud,Medium
T008706,Backup encryption key inaccessible,Backup,High
T005716,LUN mapping error preventing server access,Storage,Critical
T008802,Disaster recovery runbook outdated,Backup,Medium
T002546,"Issue experiencing RDS, certificate error",Cloud,High
T007978,"Issue throwing Outlook, Exchange error",Email,Critical
T000626,Network interface bonding showing poor performance,Network,High
T003556,Shell script returning permission denied on NFS mount,Unix,High
T006399,Alert notification email not being delivered,Monitoring,Critical
T000209,RDP connection timeout to database server,Network,High
T006577,Container registry rate limit exceeded,DevOps,Critical
T001108,"Issue showing user, exception error",Application,Low
T006096,"Issue experiencing network, latency, Splunk error",Monitoring,Medium
T004146,Possible malware infection detected on workstation,Security,High
T004871,"Issue experiencing vCenter, datastore, storage error",Virtualization,Critical
T004382,"Issue showing resource pool, VM, provisioning, migration error",Virtualization,Critical
T008425,Distribution list membership not updating,Email,High
T004063,Possible malware infection detected on workstation,Security,High
T000721,API rate limiting throttling legitimate requests,Application,High
T004739,VM console access restricted due to certificate issue,Virtualization,High
T000724,"Issue cannot transaction, performance, deployment, CPU error",Application,Critical
T008101,"Issue throwing synchronization, recovery, quota error",Email,Critical
T000781,"Issue showing deployment, module error",Application,High
T008718,Backup encryption key inaccessible,Backup,High
T000679,DNS resolution slow for internal domains,Network,Critical
T001265,"Issue showing pool, transaction, error error",Application,High
T002580,IAM policy denying access to CloudWatch logs,Cloud,Medium
T009238,"Issue cannot full backup, snapshot, RTO error",Backup,High
T008128,Exchange server database corruption detected,Email,High
T006973,"Issue throwing automation, GitLab error",DevOps,Low
T003500,"Issue throwing LDAP, inode, sudo error",Unix,Critical
T003541,SELinux policy blocking application access,Unix,Medium
T005692,"Issue showing retention, compression, deduplication error",Storage,Medium
T000933,"Issue cannot endpoint, error, thread, performance error",Application,High
T002417,Load balancer not distributing traffic evenly,Cloud,Low
T009252,"Issue causing disaster recovery, archival, snapshot error",Backup,Medium
T009007,Backup encryption key inaccessible,Backup,High
T001514,Database connection pool exhausted,Database,High
T006822,Infrastructure-as-code drift detected in production,DevOps,High
T003093,"Issue showing service, inode, kernel error",Unix,High
T001421,Application experiencing token expiration issues,Application,High
T009536,End of life date approaching for vendor product,Vendor,Critical
T007286,Workstation disk drive making unusual noise,Hardware,Medium
T006012,Monitoring compliance report generation failing,Monitoring,High
T000210,Redundant network link down causing failover delay,Network,Critical
T007228,Server BIOS update preventing system boot,Hardware,Critical
T007180,"Issue unable to replacement, CPU error",Hardware,Medium
T009340,"Issue throwing third-party, vendor support, compatibility error",Vendor,Critical
T000785,"Issue throwing endpoint, API, error, caching error",Application,High
T001776,"Issue experiencing lock, vacuum, Oracle, tablespace error",Database,High
T002914,Shell script returning permission denied on NFS mount,Unix,Critical
T006943,"Issue throwing automation, Terraform, GitHub, pipeline error",DevOps,Critical
T009251,Backup validation showing data corruption,Backup,Critical
T000130,BGP route flapping causing intermittent connectivity,Network,High
T005164,Replication network bandwidth insufficient,Storage,High
T001763,Database slow query log indicates problematic queries,Database,Critical
T007941,Meeting invitations not being delivered,Email,High
T007111,"Issue showing Terraform, Jenkins, Kubernetes, automation error",DevOps,High
T006585,"Issue experiencing Kubernetes, pipeline, Git error",DevOps,High
T006384,SLA tracking calculation incorrect,Monitoring,Low
T001876,"Issue cannot index, connection, tablespace error",Database,High
T000279,Network broadcast storm detected on VLAN,Network,High
T002406,Load balancer not distributing traffic evenly,Cloud,High
T005932,APM agent memory leak causing high overhead,Monitoring,Critical
T008047,Outlook unable to connect to mailbox server,Email,Low
T008197,"Issue causing delivery, spam, collaboration error",Email,High
T003908,Insider threat alert triggered for suspicious file access,Security,Medium
T007627,Laptop screen flickering intermittently,Hardware,Medium
T008450,"Issue causing recovery, mailbox error",Email,High
T003843,"Issue unable to exploit, patch, firewall error",Security,High
T003335,Shell script returning permission denied on NFS mount,Unix,High
T009266,Backup validation showing data corruption,Backup,High
T007664,"Issue unable to BIOS, desktop, server, RAM error",Hardware,Medium
T009567,End of life date approaching for vendor product,Vendor,High
T006472,"Issue causing Jenkins, version control error",DevOps,Critical
T008328,Shared mailbox access permission not working,Email,Medium
T007963,Out of office reply not being sent,Email,High
T006992,"Issue cannot deployment, Docker, GitLab, version control error",DevOps,Critical
T008535,"Issue cannot calendar, authentication error",Email,High
T001042,"Issue causing response time, deployment error",Application,Critical
T009207,Backup deduplication ratio declining unexpectedly,Backup,High
T005508,"Issue cannot retention, tiering error",Storage,High
T001439,Redis cache connection refused from web servers,Database,High
T001092,Application unable to parse XML response,Application,High
T001676,Database cardinality estimation causing poor plan,Database,Low
T009871,"Issue throwing renewal, third-party, API, escalation error",Vendor,High
T009123,"Issue cannot disaster recovery, restore error",Backup,High
T007844,"Issue unable to fan, temperature, warranty, disk error",Hardware,Critical
T008491,Email encryption certificate expired,Email,High
T008177,Email forwarding rule not executing,Email,Medium
T004620,"Issue experiencing datastore, cluster error",Virtualization,Critical
T009475,API token refresh failing unexpectedly,Vendor,High
T004991,vCenter database size exceeding retention limits,Virtualization,High
T006365,Metric cardinality explosion from new service,Monitoring,High
T002955,File permissions incorrect after backup restore,Unix,Medium
T001410,Application performance degrades under load test,Application,Medium
T005250,SSD wear level approaching replacement threshold,Storage,Medium
T005151,Replication network bandwidth insufficient,Storage,High
T002542,Kubernetes pod eviction due to memory pressure,Cloud,Medium
T000012,"Issue showing latency, jitter error",Network,High
T002129,MongoDB oplog size insufficient for replication,Database,Medium
T003790,Data exfiltration attempt detected and blocked,Security,High
T003716,"Issue showing exploit, antivirus, audit error",Security,High
T003575,"Issue experiencing detection, malware error",Security,Low
T004443,Datastore space running critically low,Virtualization,Critical
T000923,Application JSON parsing error from third party API,Application,High
T003196,Apache SSL module not loaded after system update,Unix,High
T007103,Pipeline notification system offline,DevOps,High
T009770,Vendor feature deprecation breaking integration,Vendor,High
T006243,Monitoring dashboard refresh rate degraded,Monitoring,High
T003838,"Issue experiencing update, malware error",Security,High
T006875,Kubernetes deployment unable to pull image,DevOps,Critical
T001287,Application struggling with concurrent requests,Application,High
T008627,"Issue causing retention, tape, RTO, disaster recovery error",Backup,High
T008768,"Issue unable to incremental, backup error",Backup,High
T009506,Vendor system data sync incomplete,Vendor,High
T000499,"Issue cannot OSPF, packet loss error",Network,High
T009061,Backup validation showing data corruption,Backup,Critical
T009384,API schema change breaking existing code,Vendor,Medium
T002812,Kubernetes pod eviction due to memory pressure,Cloud,High
T003344,"Issue unable to inode, process, kernel error",Unix,High
T005637,"Issue causing NAS, controller error",Storage,Critical
T002233,AWS RDS backup failing with insufficient storage,Cloud,High
T001984,Database index becoming bloated after bulk insert,Database,High
T004238,Data exfiltration attempt detected and blocked,Security,Critical
T008114,Spam filter incorrectly blocking legitimate email,Email,High
T009795,SaaS application API rate limiting requests,Vendor,High
T002792,"Issue experiencing EC2, AWS error",Cloud,High
T001055,Java application OutOfMemory error in production,Application,Critical
T008520,Email forwarding rule not executing,Email,High
T004351,Virtual machine unable to start after host failure,Virtualization,Critical
T005185,"Issue experiencing disk, volume, retention, LUN error",Storage,High
